address,categories,city,latitude,longitude,name,postalCode,province,reviews.date,reviews.rating,reviews.text,reviews.userProvince
1 Main St,Hotels,Las Vegas,36.171617,-115.146375,Plaza Hotel and Casino - Las Vegas,89101,NV,July,4.0,good but bathroom should definitily have exhaust fan,
1 Main St,Hotels,Las Vegas,36.171617,-115.146375,Plaza Hotel and Casino - Las Vegas,89101,NV,July,4.0,"The bottom of the tub in the bathroom was old, stained and dirty and I didn't even want to shower in it!",
1 Main St,Hotels,Las Vegas,36.171617,-115.146375,Plaza Hotel and Casino - Las Vegas,89101,NV,July,3.0,there was some ants inside the room at last night and the staff is not helpful,
1 Main St,Hotels,Las Vegas,36.171617,-115.146375,Plaza Hotel and Casino - Las Vegas,89101,NV,July,4.0,"Overall stay was comfortable,Cons- pool closing 7p on Sunday eve when it was over 100Not pleased..",
1 Main St,Hotels,Las Vegas,36.171617,-115.146375,Plaza Hotel and Casino - Las Vegas,89101,NV,July,4.0,"Was very convenient and everything was nearby. Kids got to go swimming, shopping and sightseeing. Adults enjoyed playing Bingo and gambling. Lots of places to eat as well. Thank-you",
1 Main St,Hotels,Las Vegas,36.171617,-115.146375,Plaza Hotel and Casino - Las Vegas,89101,NV,July,2.0,"The Hotel is decent, the rooms are large...however, the bathroom tub backed up and the water would not drain, same issue with the sink. The air conditioner didn't seem to keep the room cool, it was warm. When we let the front desk know, they did NOTHING to fix the issues. We would NOT stay at this hotel again, it was inexpensive but now we know why it is inexpensive.",
1 Main St,Hotels,Las Vegas,36.171617,-115.146375,Plaza Hotel and Casino - Las Vegas,89101,NV,July,1.0,"This was the second worst hotel/motel I've ever stayed in. There was still trash in the bathroom when we checked in. Housekeeping did not want to send anyone to take out the trash or bring more towels. The towels were frayed. Our non-smoking room stank of cigarette smoke. There was no coffee maker. Our receipt from hotels.com said there was room service, but there was no room service. We forgot an item, but when we called to see if they found it and could return it, we were told, Sorry, the lost and found is only open M-F, 8-5. Not one employee acted as if we were in any way valued guests. I'm glad we only stayed the one night. I will never stay there again and I will tell everyone I know about the horrible time we had there.",
1 Main St,Hotels,Las Vegas,36.171617,-115.146375,Plaza Hotel and Casino - Las Vegas,89101,NV,July,4.0,Nice hotel and great location downtown.,
1 Main St,Hotels,Las Vegas,36.171617,-115.146375,Plaza Hotel and Casino - Las Vegas,89101,NV,July,2.0,The price was to high for what the hotel offering !!!,
1 Main St,Hotels,Las Vegas,36.171617,-115.146375,Plaza Hotel and Casino - Las Vegas,89101,NV,July,2.0,"Bad room - view to the Greyhound bus depot right outside window. Big gap underneath room door, easily could see people going back and forth on hallway.",
1 Main St,Hotels,Las Vegas,36.171617,-115.146375,Plaza Hotel and Casino - Las Vegas,89101,NV,July,3.0,"We had a good time, but the elevators were always such a long wait.",
