address,categories,city,latitude,longitude,name,postalCode,province,reviews.date,reviews.rating,reviews.text,reviews.userProvince
200 North Main Street,"Hotels,Hotel",Las Vegas,36.17432,-115.14565,Main Street Station Casino Brewery Hotel,89101,NV,November,4.4,"Bad: Better return from the slots!!. Good: Bed excellent, pillows good, shower good with strong flow and hot. Very well maintained public spaces with lots of wood panelling. The piece of the Berlin Wall was quite interesting and all at a very good price.",
200 Fremont Street,"Hotels,Hotel",Las Vegas,36.170890500000006,-115.14307,Fremont Hotel & Casino,89101,NV,March,2.1,Bad: Thumping music all night long. So loud the windows vibrated.,
200 Fremont Street,"Hotels,Hotel",Las Vegas,36.170890500000006,-115.14307,Fremont Hotel & Casino,89101,NV,December,5.0,Bad: Losing money lol. Good: I like the attitude and service from the staff...i enjoy the atmosphere and the food,
200 Fremont Street,"Hotels,Hotel",Las Vegas,36.170890500000006,-115.14307,Fremont Hotel & Casino,89101,NV,January,3.95,"Good: The staff at the place is extremely friendly.Paradise Restaurant buffet good selection, good food, and reasonable cost.",
200 Fremont Street,"Hotels,Hotel",Las Vegas,36.170890500000006,-115.14307,Fremont Hotel & Casino,89101,NV,January,1.65,"Bad: The room I booked was a non-smoking but when we got to the hotel, the gentleman at the counter said they didn't have any and have not had any available for several days. The guy then said that in order for me to get my money back, I'd have to go through the third party that I booked the room through. Good: Nothing",
200 North Main Street,"Hotels,Hotel",Las Vegas,36.17432,-115.14565,Main Street Station Casino Brewery Hotel,89101,NV,September,3.95,Good: HELPFUL STAFF,
200 Fremont Street,"Hotels,Hotel",Las Vegas,36.170890500000006,-115.14307,Fremont Hotel & Casino,89101,NV,November,3.55,Bad: That the tv would not switch to the input channel. I wasn't able to use the HDMI port on the TV. Good: The company I had with me. Lol,
200 North Main Street,"Hotels,Hotel",Las Vegas,36.17432,-115.14565,Main Street Station Casino Brewery Hotel,89101,NV,April,5.0,"Good: Best gambling in Vegas and best comps! Brewery is great, rooms very clean, staff is wonderful. I only stay at Main Street.",
200 Fremont Street,"Hotels,Hotel",Las Vegas,36.170890500000006,-115.14307,Fremont Hotel & Casino,89101,NV,November,5.0,Bad: I still really hate the cigarette smoke in the casino. But other then that (and all the crazies on the fremont experience at night) its fun and awesome!. Good: Location was perfect for our leisure trip. Free valet parking is always amazing (of course we tipped every time we picked up and dropped off our car!) The amount of things to do on the Fremont Experience is endless! What an awesome experience. Truly the 9th island for Hawaiians like us! We love it!,
200 Fremont Street,"Hotels,Hotel",Las Vegas,36.170890500000006,-115.14307,Fremont Hotel & Casino,89101,NV,April,2.5,"Bad: 1st - PARKING LOT **BAD,BAD,BAD** This is 2017, nobody need driver to parking car, unless you're 85 yrs old (should not even drive). But drivers that steals quarters from your rental car, this is very low. 2nd - They asked a deposit of 100. Because I was planning to get it back, I used a BC and not a CC. On check out I was informed that it will take 1 to 2 days. Should I trust on it 3rd - If you sleep on that room 512 and need a AC on, make sure you are deaf or use to leave near NY freeway. The noise of that machine it's worst than sleep on LV international airport at 9am with your windows car open. Will I stay on this hotel again NEVER. Good: Location, access to shopping, and cleanning",
