User country,Score,Traveler type,Pool,Casino,Hotel name,Review month
USA,5,Friends,NO,YES,Circus Circus Hotel & Casino Las Vegas,January
USA,3,Business,NO,YES,Circus Circus Hotel & Casino Las Vegas,January
USA,5,Families,NO,YES,Circus Circus Hotel & Casino Las Vegas,February
UK,4,Friends,NO,YES,Circus Circus Hotel & Casino Las Vegas,February
Canada,4,Solo,NO,YES,Circus Circus Hotel & Casino Las Vegas,March
Canada,3,Couples,NO,YES,Circus Circus Hotel & Casino Las Vegas,March
UK,4,Couples,NO,YES,Circus Circus Hotel & Casino Las Vegas,April
USA,4,Families,NO,YES,Circus Circus Hotel & Casino Las Vegas,April
India,4,Friends,NO,YES,Circus Circus Hotel & Casino Las Vegas,May
Canada,3,Families,NO,YES,Circus Circus Hotel & Casino Las Vegas,May
USA,2,Families,NO,YES,Circus Circus Hotel & Casino Las Vegas,June
Australia,3,Friends,NO,YES,Circus Circus Hotel & Casino Las Vegas,June
USA,2,Friends,NO,YES,Circus Circus Hotel & Casino Las Vegas,July
USA,3,Friends,NO,YES,Circus Circus Hotel & Casino Las Vegas,July
UK,3,Friends,NO,YES,Circus Circus Hotel & Casino Las Vegas,August
New Zeland,4,Families,NO,YES,Circus Circus Hotel & Casino Las Vegas,August
Canada,1,Families,NO,YES,Circus Circus Hotel & Casino Las Vegas,September
USA,4,Families,NO,YES,Circus Circus Hotel & Casino Las Vegas,September
Canada,3,Couples,NO,YES,Circus Circus Hotel & Casino Las Vegas,October
USA,2,Couples,NO,YES,Circus Circus Hotel & Casino Las Vegas,October
UK,4,Couples,NO,YES,Circus Circus Hotel & Casino Las Vegas,November
New Zeland,1,Couples,NO,YES,Circus Circus Hotel & Casino Las Vegas,November
UK,4,Families,NO,YES,Circus Circus Hotel & Casino Las Vegas,December
USA,2,Couples,NO,YES,Circus Circus Hotel & Casino Las Vegas,December
Ireland,4,Couples,YES,YES,Excalibur Hotel & Casino,January
USA,4,Business,YES,YES,Excalibur Hotel & Casino,January
Canada,5,Couples,YES,YES,Excalibur Hotel & Casino,February
UK,3,Business,YES,YES,Excalibur Hotel & Casino,February
USA,5,Solo,YES,YES,Excalibur Hotel & Casino,March
Ireland,5,Couples,YES,YES,Excalibur Hotel & Casino,March
Canada,5,Couples,YES,YES,Excalibur Hotel & Casino,April
Australia,3,Couples,YES,YES,Excalibur Hotel & Casino,April
Canada,3,Solo,YES,YES,Excalibur Hotel & Casino,May
Egypt,3,Friends,YES,YES,Excalibur Hotel & Casino,May
Australia,4,Couples,YES,YES,Excalibur Hotel & Casino,June
Finland,3,Couples,YES,YES,Excalibur Hotel & Casino,June
USA,4,Friends,YES,YES,Excalibur Hotel & Casino,July
Kenya,4,Friends,YES,YES,Excalibur Hotel & Casino,July
USA,4,Couples,YES,YES,Excalibur Hotel & Casino,August
USA,2,Families,YES,YES,Excalibur Hotel & Casino,August
Jordan,3,Business,YES,YES,Excalibur Hotel & Casino,September
Canada,3,Couples,YES,YES,Excalibur Hotel & Casino,September
Netherlands,3,Families,YES,YES,Excalibur Hotel & Casino,October
Ireland,4,Friends,YES,YES,Excalibur Hotel & Casino,October
USA,4,Families,YES,YES,Excalibur Hotel & Casino,November
UK,4,Friends,YES,YES,Excalibur Hotel & Casino,November
UK,4,Couples,YES,YES,Excalibur Hotel & Casino,December
Syria,3,Solo,YES,YES,Excalibur Hotel & Casino,December
UK,3,Couples,YES,YES,Monte Carlo Resort&Casino,January
USA,4,Solo,YES,YES,Monte Carlo Resort&Casino,January
USA,2,Couples,YES,YES,Monte Carlo Resort&Casino,February
USA,4,Couples,YES,YES,Monte Carlo Resort&Casino,February
Canada,3,Couples,YES,YES,Monte Carlo Resort&Casino,March
USA,4,Business,YES,YES,Monte Carlo Resort&Casino,March
Scotland,5,Couples,YES,YES,Monte Carlo Resort&Casino,April
South Africa,2,Business,YES,YES,Monte Carlo Resort&Casino,April
Australia,4,Couples,YES,YES,Monte Carlo Resort&Casino,May
UK,4,Couples,YES,YES,Monte Carlo Resort&Casino,May
Ireland,4,Couples,YES,YES,Monte Carlo Resort&Casino,June
Canada,4,Friends,YES,YES,Monte Carlo Resort&Casino,June
UK,4,Families,YES,YES,Monte Carlo Resort&Casino,July
New Zeland,3,Couples,YES,YES,Monte Carlo Resort&Casino,July
Swiss,2,Solo,YES,YES,Monte Carlo Resort&Casino,August
UK,3,Families,YES,YES,Monte Carlo Resort&Casino,August
United Arab Emirates,3,Friends,YES,YES,Monte Carlo Resort&Casino,September
Ireland,4,Couples,YES,YES,Monte Carlo Resort&Casino,September
USA,3,Families,YES,YES,Monte Carlo Resort&Casino,October
USA,2,Couples,YES,YES,Monte Carlo Resort&Casino,October
Hungary,4,Couples,YES,YES,Monte Carlo Resort&Casino,November
China,1,Business,YES,YES,Monte Carlo Resort&Casino,November
Greece,2,Business,YES,YES,Monte Carlo Resort&Casino,December
Mexico,5,Couples,YES,YES,Monte Carlo Resort&Casino,December
Croatia,3,Business,YES,YES,Treasure Island- TI Hotel & Casino,January
Australia,4,Couples,YES,YES,Treasure Island- TI Hotel & Casino,January
Canada,4,Friends,YES,YES,Treasure Island- TI Hotel & Casino,February
USA,5,Solo,YES,YES,Treasure Island- TI Hotel & Casino,February
USA,4,Couples,YES,YES,Treasure Island- TI Hotel & Casino,March
Canada,4,Friends,YES,YES,Treasure Island- TI Hotel & Casino,March
USA,4,Friends,YES,YES,Treasure Island- TI Hotel & Casino,April
Australia,3,Families,YES,YES,Treasure Island- TI Hotel & Casino,April
India,3,Families,YES,YES,Treasure Island- TI Hotel & Casino,May
Germany,4,Friends,YES,YES,Treasure Island- TI Hotel & Casino,May
USA,3,Families,YES,YES,Treasure Island- TI Hotel & Casino,June
Canada,4,Couples,YES,YES,Treasure Island- TI Hotel & Casino,June
Australia,5,Couples,YES,YES,Treasure Island- TI Hotel & Casino,July
Malaysia,4,Solo,YES,YES,Treasure Island- TI Hotel & Casino,July
Mexico,4,Couples,YES,YES,Treasure Island- TI Hotel & Casino,August
UK,4,Couples,YES,YES,Treasure Island- TI Hotel & Casino,August
UK,3,Couples,YES,YES,Treasure Island- TI Hotel & Casino,September
USA,4,Business,YES,YES,Treasure Island- TI Hotel & Casino,September
Australia,5,Families,YES,YES,Treasure Island- TI Hotel & Casino,October
USA,3,Couples,YES,YES,Treasure Island- TI Hotel & Casino,October
Thailand,5,Couples,YES,YES,Treasure Island- TI Hotel & Casino,November
Australia,4,Families,YES,YES,Treasure Island- TI Hotel & Casino,November
Canada,4,Friends,YES,YES,Treasure Island- TI Hotel & Casino,December
Canada,5,Couples,YES,YES,Treasure Island- TI Hotel & Casino,December
UK,4,Families,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,January
USA,5,Friends,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,January
Phillippines,3,Couples,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,February
Israel,3,Business,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,February
Canada,4,Business,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,March
UK,4,Couples,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,March
Ireland,5,Couples,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,April
India ,4,Business,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,April
New Zeland,4,Couples,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,May
Belgium,3,Friends,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,May
UK,4,Business,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,June
Australia,4,Friends,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,June
UK,4,Solo,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,July
UK,4,Couples,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,July
New Zeland,5,Friends,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,August
Australia,5,Couples,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,August
Canada,1,Couples,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,September
Australia,5,Couples,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,September
UK,5,Friends,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,October
USA,2,Friends,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,October
India,4,Solo,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,November
Netherlands,5,Friends,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,November
UK,5,Couples,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,December
UK,5,Families,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,December
USA,5,Friends,YES,YES,Caesars Palace,January
USA,4,Couples,YES,YES,Caesars Palace,January
Puerto Rico,5,Families,YES,YES,Caesars Palace,February
Canada,5,Families,YES,YES,Caesars Palace,February
USA,5,Families,YES,YES,Caesars Palace,March
USA,3,Families,YES,YES,Caesars Palace,March
Canada,5,Couples,YES,YES,Caesars Palace,April
USA,4,Couples,YES,YES,Caesars Palace,April
UK,1,Couples,YES,YES,Caesars Palace,May
UK,4,Couples,YES,YES,Caesars Palace,May
USA,4,Couples,YES,YES,Caesars Palace,June
USA,1,Solo,YES,YES,Caesars Palace,June
USA,5,Couples,YES,YES,Caesars Palace,July
UK,3,Families,YES,YES,Caesars Palace,July
UK,5,Families,YES,YES,Caesars Palace,August
Canada,4,Friends,YES,YES,Caesars Palace,August
USA,5,Couples,YES,YES,Caesars Palace,September
USA,5,Couples,YES,YES,Caesars Palace,September
USA,5,Business,YES,YES,Caesars Palace,October
USA,5,Friends,YES,YES,Caesars Palace,October
Australia,5,Couples,YES,YES,Caesars Palace,November
Australia,3,Families,YES,YES,Caesars Palace,November
USA,4,Families,YES,YES,Caesars Palace,December
USA,4,Couples,YES,YES,Caesars Palace,December
Australia,4,Friends,YES,YES,The Cosmopolitan Las Vegas,January
Australia,5,Friends,YES,YES,The Cosmopolitan Las Vegas,January
Switzerland,4,Friends,YES,YES,The Cosmopolitan Las Vegas,February
UK,5,Couples,YES,YES,The Cosmopolitan Las Vegas,February
USA,5,Couples,YES,YES,The Cosmopolitan Las Vegas,March
USA,5,Couples,YES,YES,The Cosmopolitan Las Vegas,March
Ireland,4,Friends,YES,YES,The Cosmopolitan Las Vegas,April
USA,5,Business,YES,YES,The Cosmopolitan Las Vegas,April
Germany,5,Families,YES,YES,The Cosmopolitan Las Vegas,May
USA,2,Business,YES,YES,The Cosmopolitan Las Vegas,May
Germany,2,Couples,YES,YES,The Cosmopolitan Las Vegas,June
Ireland,5,Friends,YES,YES,The Cosmopolitan Las Vegas,June
USA,1,Business,YES,YES,The Cosmopolitan Las Vegas,July
Australia,4,Friends,YES,YES,The Cosmopolitan Las Vegas,July
Canada,5,Families,YES,YES,The Cosmopolitan Las Vegas,August
USA,4,Couples,YES,YES,The Cosmopolitan Las Vegas,August
UK,5,Couples,YES,YES,The Cosmopolitan Las Vegas,September
Norway,5,Couples,YES,YES,The Cosmopolitan Las Vegas,September
USA,5,Couples,YES,YES,The Cosmopolitan Las Vegas,October
UK,5,Friends,YES,YES,The Cosmopolitan Las Vegas,October
Egypt,5,Business,YES,YES,The Cosmopolitan Las Vegas,November
USA,5,Business,YES,YES,The Cosmopolitan Las Vegas,November
Canada,2,Couples,YES,YES,The Cosmopolitan Las Vegas,December
